Scaling Factor,INTER_NEAREST (MSE),INTER_LINEAR (MSE),INTER_CUBIC (MSE),INTER_AREA (MSE),INTER_LANCZOS4 (MSE)
0.1,72.23256249999999,69.13439583333333,71.72141666666666,71.14014583333334,74.24235416666669
0.2,57.79835416666667,52.254874999999984,55.432645833333325,54.07672916666667,59.09570833333332
0.3,57.55891666666666,44.01774999999999,47.04960416666666,45.84310416666666,50.61733333333334
0.4,48.666895833333335,38.05256250000001,39.52375,39.829916666666676,43.29008333333333
0.5,31.242229166666668,36.648791666666675,36.664562499999995,34.65652083333333,41.43016666666666
0.6,45.3728125,29.691520833333335,28.938125000000007,31.994979166666667,32.39729166666667
0.7,47.84716666666667,28.169437500000008,25.102520833333333,29.51854166666667,27.85260416666666
0.8,41.92431249999999,25.796395833333328,19.941229166666663,26.2738125,21.40604166666667
0.9,46.5189375,23.81060416666667,16.56422916666667,26.686479166666665,15.335270833333336
1,0.0,0.0,0.0,0.0,0.0
