Area_1,1,2,4,8,16,32
160x90,0.003,0.005,0.009,0.017,0.035,0.071
160x100,0.003,0.005,0.009,0.018,0.036,0.07
160x120,0.003,0.005,0.01,0.02,0.041,0.078
320x180,0.005,0.011,0.022,0.043,0.085,0.17
320x200,0.006,0.013,0.027,0.049,0.101,0.206
320x240,0.007,0.015,0.029,0.059,0.121,0.252
480x270,0.013,0.028,0.056,0.105,0.214,0.45
480x300,0.016,0.033,0.065,0.132,0.277,0.576
480x360,0.019,0.04,0.079,0.169,0.338,0.653
640x360,0.027,0.057,0.117,0.238,0.475,0.848
640x400,0.029,0.06,0.126,0.249,0.488,0.899
640x480,0.033,0.07,0.146,0.284,0.549,1.023
800x450,0.042,0.082,0.169,0.326,0.619,1.166
800x500,0.043,0.091,0.178,0.361,0.7,1.323
800x600,0.055,0.107,0.219,0.434,0.855,1.581
1024x576,0.073,0.134,0.271,0.512,1.027,1.997
1024x640,0.074,0.149,0.313,0.623,1.133,2.23
1024x768,0.092,0.186,0.386,0.712,1.404,2.46
1280x720,0.138,0.247,0.455,0.839,1.659,2.873
1280x800,0.132,0.262,0.505,0.961,1.898,3.851
1280x960,0.17,0.313,0.574,1.191,2.62,4.754
1440x900,0.174,0.346,0.67,1.261,2.634,5.044
1440x1080,0.256,0.401,0.768,1.538,2.967,5.946
1920x1080,0.325,0.58,1.204,2.317,5.038,8.382
