Nearest_1,1,2,4,8,16,32
160x90,0.003,0.005,0.009,0.018,0.035,0.068
160x100,0.003,0.005,0.009,0.018,0.035,0.069
160x120,0.003,0.005,0.01,0.02,0.038,0.077
320x180,0.005,0.01,0.022,0.041,0.082,0.162
320x200,0.006,0.012,0.027,0.048,0.096,0.195
320x240,0.007,0.015,0.029,0.057,0.119,0.239
480x270,0.016,0.03,0.068,0.114,0.218,0.44
480x300,0.017,0.032,0.062,0.126,0.284,0.631
480x360,0.019,0.038,0.078,0.174,0.373,0.768
640x360,0.026,0.056,0.12,0.26,0.565,1.069
640x400,0.027,0.059,0.126,0.289,0.606,1.156
640x480,0.031,0.068,0.155,0.333,0.669,1.206
800x450,0.036,0.083,0.186,0.389,0.757,1.394
800x500,0.038,0.085,0.184,0.406,0.775,1.486
800x600,0.047,0.114,0.238,0.49,0.926,1.731
1024x576,0.06,0.137,0.277,0.545,1.061,2.009
1024x640,0.064,0.152,0.308,0.605,1.153,2.348
1024x768,0.08,0.179,0.365,0.703,1.368,2.79
1280x720,0.091,0.253,0.43,0.816,1.61,3.108
1280x800,0.158,0.255,0.457,0.959,1.783,3.625
1280x960,0.158,0.312,0.571,1.189,2.287,4.695
1440x900,0.164,0.313,0.581,1.196,2.325,4.872
1440x1080,0.189,0.362,0.759,1.488,2.941,5.798
1920x1080,0.249,0.519,1.044,2.063,4.187,8.147
