size,image_quality,1,2,4,8,16,32
14400,160x90,278,292,431,520,630,743
16000,160x100,280,287,440,537,628,798
19200,160x120,282,349,471,535,681,831
43200,240x180,356,463,559,697,777,1129
57600,320x180,416,507,635,746,1099,981
64000,320x200,423,504,695,703,783,2088
76800,320x240,437,553,621,705,880,1100
129600,480x270,509,568,672,776,924,1707
144000,480x300,516,630,709,802,948,1309
172800,480x360,561,639,698,883,1051,1524
230400,640x360,582,636,714,904,1558,1632
256000,640x400,569,694,773,1046,1895,1774
307200,640x480,630,714,790,979,1297,1995
360000,800x450,617,693,836,1059,1419,2289
400000,800x500,690,1109,814,1056,1495,2920
480000,800x600,784,918,1020,1135,1707,4220
589824,1024x576,630,757,1440,1736,1947,5104
655360,1024x640,772,769,960,1769,2094,3672
786432,1024x768,833,828,1653,1876,2398,4263
921600,1280x720,755,892,2474,3097,3440,5636
1024000,1280x800,756,894,2321,1727,2979,5268
1228800,1280x960,754,1231,2737,1967,3511,6222
1296000,1440x900,783,913,1332,1978,3690,6750
1555200,1440x1080,841,1058,1421,2343,4177,7832
2073600,1920x1080,1459,1461,1770,3054,5274,11108
